nombre_curso,price(USD),cant_suscriptores,cant_opiniones,cant_lecciones,nivel,valoracion,duracion_curso,categoria,Free/Paid,fecha_curso,año
Accounting Made Easy 2,50.0,4034,8,40,Intermedio,0.7000000000000001,3.0,Negocios y Finanzas,Paid,2015-09-16,2015
Elliott Wave -Forex Trading With The Elliott Wave Theory,90.0,4022,35,14,Mixto,0.55,1.0,Negocios y Finanzas,Paid,2016-12-15,2016
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175.0,4005,237,25,Mixto,3.3000000000000003,2.0,Negocios y Finanzas,Paid,2015-04-12,2015
Trading for Beginners - Intermediate Level,150.0,3979,40,39,Mixto,0.15,5.0,Negocios y Finanzas,Paid,2016-11-09,2016
The Holy Grail of Auto Trading Forex Futures Stocks Revealed,50.0,3917,45,7,Principiante,2.4,1.0,Negocios y Finanzas,Paid,2016-05-03,2016
Accounting Is Easy (for Beginners),20.0,3870,12,90,Principiante,4.2,9.0,Negocios y Finanzas,Paid,2014-05-20,2014
How to Create Your Personal Budget,20.0,3870,53,10,Intermedio,3.4499999999999997,1.0,Negocios y Finanzas,Paid,2016-03-21,2016
≪虎の巻≫証券取引の「税金のお悩み」解消,25.0,3840,296,33,Mixto,1.75,1.5,Negocios y Finanzas,Paid,2017-02-21,2017
Python for Finance: Investment Fundamentals & Data Analytics,195.0,3811,278,103,Mixto,0.5,6.5,Negocios y Finanzas,Paid,2017-03-30,2017
"Value Investing, Taught by Six Superinvestors",200.0,3804,267,66,Mixto,4.8,5.0,Negocios y Finanzas,Paid,2015-06-19,2015
Introduction to Cryptocurrencies and Blockchain,0.0,3775,138,11,Intermedio,4.8,2.0,Negocios y Finanzas,Free,2017-05-01,2017
Auditing Basics (Professional Course Level),25.0,3771,10,35,Principiante,4.8,2.5,Negocios y Finanzas,Paid,2015-02-13,2015
"Binary, Forex, Stock and Bitcoin Trading Strategy",0.0,3757,70,14,Principiante,4.8,0.6166666667,Negocios y Finanzas,Free,2015-05-28,2015
Cost Accounting Crash Course,20.0,3730,11,17,Mixto,4.8,2.5,Negocios y Finanzas,Paid,2015-04-10,2015
MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,180.0,3667,4,460,Principiante,4.8,43.5,Negocios y Finanzas,Paid,2014-12-06,2014
Financial Management Risk and Return For Securities,30.0,3607,21,19,Mixto,4.8,1.5,Negocios y Finanzas,Paid,2016-02-03,2016
Technical Analysis tools for Stocks and Options trading,40.0,3555,89,11,Mixto,4.8,1.5,Negocios y Finanzas,Paid,2015-04-12,2015
Forex Trading MAKE YOUR FIRST TRADE TODAY!,150.0,3523,46,45,Mixto,4.8,4.0,Negocios y Finanzas,Paid,2016-01-10,2016
Bitcoin for Accountants,0.0,3519,102,6,Mixto,4.8,1.0,Negocios y Finanzas,Free,2015-02-06,2015
Apply finance concepts for smart project management,0.0,3465,161,24,Mixto,4.8,2.0,Negocios y Finanzas,Free,2016-02-23,2016
Demystifying Your Personal Tax Return,0.0,3426,27,14,Principiante,4.8,1.0,Negocios y Finanzas,Free,2015-11-25,2015
Business Economics - Basics (College Level),50.0,3425,10,50,Mixto,4.8,4.0,Negocios y Finanzas,Paid,2015-09-16,2015
Learn to Raise the Funds You Need via Crowdfunding,20.0,3403,29,70,Mixto,4.8,8.0,Negocios y Finanzas,Paid,2014-09-19,2014
The Art Of Financial Valuation With Certificate,20.0,3372,12,12,Mixto,4.8,2.0,Negocios y Finanzas,Paid,2013-09-29,2013
Startup Business: How To Raise Seed Capital,95.0,3360,12,34,Intermedio,4.8,3.0,Negocios y Finanzas,Paid,2015-03-15,2015
"Master 'Technical Analysis and Chart reading skills Bundle""",120.0,3348,352,13,Mixto,4.8,3.0,Negocios y Finanzas,Paid,2013-02-25,2013
Trade Recap I - A Real Look at Futures Options Markets,20.0,3339,4,11,Mixto,4.8,1.5,Negocios y Finanzas,Paid,2014-02-17,2014
Beginners Guide to Stock Market Investing,0.0,3283,109,42,Intermedio,4.8,2.5,Negocios y Finanzas,Free,2016-09-15,2016
Hedge and Mutual Fund Careers: The Complete Guide,200.0,3255,340,102,Principiante,4.8,8.5,Negocios y Finanzas,Paid,2016-06-20,2016
