course_title,course_organization,course_type,duration(h),course_language,course_rating,course_difficulty,instructor
ИТ-кризисология. Модернизация системы автоматизации управления воздушным движением,National Research Nuclear University MEPhI,100% online,15.0,Russian,3.9,Mixed,Зыков Сергей Викторович 
Измеряем ликвидность акций,Coursera Project Network,Split-screen video,2.0,Russian,3.0,Intermediate,"Bekhruzbek Ochilov, ACSI, IGCAP"
Изображение натюрмортов разной степени сложности,Saint Petersburg State University,100% online,15.0,Russian,4.1,Mixed,Гамаюнов Петр Петрович
"Изобретения, изменившие мир",National Research Nuclear University MEPhI,100% online,26.0,Russian,4.9,Mixed,"Муравьев Сергей Евгеньевич ,Ольчак Андрей Станиславович"
Инвестиции в акции,HSE University,100% online,18.0,Russian,3.7,Mixed,Теплова Тамара Викторовна
Инвестиции в облигации,HSE University,100% online,21.0,Russian,4.4,Mixed,Столяров Андрей Иванович
"Инвестиционные проекты, слияния и поглощения",HSE University,100% online,15.0,Russian,4.8,Mixed,"Партин Илья Маркович,Григорьева Светлана Александровна,Бончев Иван Радилов,Пирогов Никита Константинович"
Индустрия компьютерных игр: ключевые правовые проблемы,Saint Petersburg State University,100% online,18.0,Russian,4.1,Mixed,Архипов Владислав Владимирович
"Инженер - менеджер настоящего, системный архитектор будущего",Moscow Institute of Physics and Technology,100% online,15.0,Russian,4.2,Intermediate,Кондратьев Вячеслав Владимирович
Инновации в промышленности: мехатроника и робототехника,National Research Tomsk State University,100% online,11.0,Russian,4.5,Mixed,"Михаил Владимирович Горбенко (Mikhail V. Gorbenko),Татьяна Ивановна Горбенко (Tatiana I. Gorbenko) "
Институциональная экономика (Institutional economics),HSE University,100% online,10.0,Russian,4.8,Beginner,Maria Yudkevich
Инструментальная фонетика: компьютерные методы сбора и анализа данных,HSE University,100% online,20.0,Russian,2.2,Mixed,Георгий Алексеевич Мороз
Инструменты позитивной психологии в менеджменте. Курс для руководителей,Saint Petersburg State University,100% online,28.0,Russian,5.0,Beginner,"Родионова Елена Анатольевна,Доминяк Владислав Игоревич"
"Инфраструктура рынка, методы и технологии инвестирования",HSE University,100% online,12.0,Russian,4.3,Mixed,Меньшиков Сергей Михайлович
Искусственный Интеллект (ИИ) для всехin,DeepLearning.AI,100% online,6.0,Russian,4.7,Mixed,Andrew NgTop Instructor
Искусство налогового планирования,Saint Petersburg State University,100% online,10.0,Russian,4.2,Mixed,"Евневич Мария Александровна,Ващук Ангелина Эдуардовна/Vashchuk Angelina,Титов Виктор Олегович/Titov Victor,Зябриков Владимир Васильевич"
Искусство продаж,Saint Petersburg State University,100% online,9.0,Russian,4.9,Beginner,"Евневич Мария Александровна,Кирюков Сергей Игоревич,Молчанов Николай Николаевич ,Титов Виктор Олегович/Titov Victor,Ващук Ангелина Эдуардовна/Vashchuk Angelina"
Искусство системного инжиниринга и менеджмента 2.0,Moscow Institute of Physics and Technology,100% online,27.0,Russian,4.5,Beginner,Кондратьев Вячеслав Владимирович
"Ислам: история, культура, практика (Islam: history, culture, praxis)",Saint Petersburg State University,100% online,37.0,Russian,4.8,Beginner," Уланова Дарья Владимировна,Кныш Александр Дмитриевич,Пиотровский Михаил Борисович,Маточкина Анна Игоревна ,Резван Ефим Анатольевич "
Использование механизмов операционных систем в разработке программного обеспечения,National Research Nuclear University MEPhI,100% online,27.0,Russian,4.1,Beginner,"Котельников Андрей Сергеевич,Красникова Светлана Анатольевна,Атовмян Игорь Оганович"
Использование языка Python для доступа к веб-данным,University of Michigan,100% online,19.0,Russian,4.6,Mixed,Charles Russell Severance
Используем функции Google Finance в Google Sheets,Coursera Project Network,Split-screen video,2.0,Russian,3.7,Intermediate,"Bekhruzbek Ochilov, ACSI, IGCAP"
Исследование и генерация данных для принятия бизн.-реш.,University of Illinois at Urbana-Champaign,100% online,23.0,Russian,2.8,Beginner,Fataneh Taghaboni-Dutta
Исследование статистических взаимосвязей,Novosibirsk State University ,100% online,21.0,Russian,4.7,Intermediate,"Olga Echevskaya,Наталья Галанова,Виктор Дёмин"
История древнего мира,Saint Petersburg State University,100% online,27.0,Russian,4.1,Mixed,"Широкова Надежда Сергеевна,Холод Максим Михайлович,Печатнова Лариса Гаврииловна,Пантелеев Алексей Дмитриевич,Николаев Андрей Николаевич,Кулишова Оксана Викторовна,Климов Олег Юрьевич,Жестоканов Сергей Михайлович,Емельянов Владимир Владимирович,Васильев Андрей Владимирович"
История и культура Санкт-Петербурга и ЛО. Часть 1,Saint Petersburg State University,100% online,16.0,Russian,3.7,Mixed,"Соколов Роман Александрович,Кривошеев Юрий Владимирович,Сухорукова Анна Сергеевна,Лелина Елена Ивановна,Патрикеева Ольга Алексеевна,Буркова Татьяна Вадимовна"
История и культура Санкт-Петербурга и ЛО. Часть 2,Saint Petersburg State University,100% online,18.0,Russian,2.6,Mixed,"Соколов Роман Александрович,Кривошеев Юрий Владимирович,Патрикеева Ольга Алексеевна,Лелина Елена Ивановна,Буркова Татьяна Вадимовна,Сухорукова Анна Сергеевна"
История и теория медиа (History and theory of media),HSE University,100% online,24.0,Russian,4.6,Beginner,Iliya Kiria
История изобретений и открытий — Вторая история человечества,National Research Nuclear University MEPhI,100% online,25.0,Russian,4.8,Beginner,"Ольчак Андрей Станиславович,Муравьев Сергей Евгеньевич "
История международных отношений,HSE University,100% online,13.0,Russian,4.5,Beginner,Щербаков Николай Георгиевич
История средних веков,Saint Petersburg State University,100% online,18.0,Russian,2.6,Mixed,"Старостин Дмитрий Николаевич,Прокопьев Андрей Юрьевич,Колотов Владимир Николаевич,Донская Александра Евгеньевна,Дмитриева Марина Игоревна,Джандосова Заринэ Алиевна"
История экономики и экономических учений,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,9.0,Russian,4.3,Mixed,Комаровская Наталья Владимировна
История экономической мысли (History of Economic Thought),HSE University,100% online,30.0,Russian,4.7,Beginner,"Vladimir Avtonomov,Oleg Ananyin,Natalia Makasheva"
"Итоговый проект специализации ""Основы Digital Маркетинга""",HSE University,100% online,14.0,Russian,4.3,Intermediate,Анастасия Фрибус
"Итоговый проект специализации ""Финансовые инструменты для частного инвестора""",HSE University,100% online,19.0,Russian,4.3,Mixed,Теплова Тамара Викторовна
КПЗС Часть 1,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,4.0,Russian,3.9,Mixed,Шашкова Анна Владиславовна
КПЗС Часть 2,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,5.0,Russian,3.9,Mixed,Шашкова Анна Владиславовна
КПЗС Часть 3,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,6.0,Russian,3.7,Mixed,Шашкова Анна Владиславовна
Как найти свою первую работу? Практический курс для студентов вузов,HSE University,Flexible deadlines,10.0,Russian,4.6,Beginner,Алёна Владимирская
Как создать Google Презентацию,Coursera Project Network,Split-screen video,2.0,Russian,3.7,Intermediate,Daria Toropchyn
Квантовая механика. Часть 1. Принципы квантовой механики,National Research Nuclear University MEPhI,100% online,37.0,Russian,4.8,Mixed,Муравьев Сергей Евгеньевич 
Квантовые вычисления (Quantum computing),Saint Petersburg State University,100% online,14.0,Russian,4.8,Mixed,Сысоев Сергей Сергеевич
Кинематика,Moscow Institute of Physics and Technology,100% online,31.0,Russian,5.0,Beginner,Притыкин Дмитрий Аркадьевич
Китайский язык: пять шагов к успеху. Основы произношения,Saint Petersburg State University,100% online,2.0,Russian,2.2,Mixed,Власова Наталья Николаевна
Китайский язык: пять шагов к успеху. Часть 1,Saint Petersburg State University,100% online,40.0,Russian,3.3,Beginner,"Власова Наталья Николаевна,Цяо Пэн,Лю Лимэй,Колпачкова Елена Николаевна"
Китайский язык: пять шагов к успеху. Часть 2,Saint Petersburg State University,100% online,35.0,Russian,3.8,Beginner,"Власова Наталья Николаевна,Цяо Пэн,Лю Лимэй,Колпачкова Елена Николаевна"
Комбинаторика для начинающих,Moscow Institute of Physics and Technology,100% online,17.0,Russian,4.9,Mixed,"Дмитрий ИльинскийTop Instructor,Андрей РайгородскийTop Instructor"
Коммерциализация результатов НИОКР,Moscow Institute of Physics and Technology,100% online,30.0,Russian,4.8,Beginner,Антонец Владимир Александрович
Коммерциализация результатов инновационной деятельности,Saint Petersburg State University,100% online,11.0,Russian,4.9,Intermediate,"Irina Brusakova,Nadezhda Pokrovskaia,Maria Kossukhina,Титов Виктор Олегович/Titov Victor,Ващук Ангелина Эдуардовна/Vashchuk Angelina"
Коммерциализация технологий в промышленном комплексе,National Research Nuclear University MEPhI,100% online,15.0,Russian,2.8,Beginner,Путилов Александр Валентинович
Комплекс маркетинга: 5Р,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,7.0,Russian,4.7,Beginner,Пономарёва Елена Анатольевна
Контекстная реклама. Google AdWords,HSE University,100% online,14.0,Russian,4.6,Intermediate,"Ivan Akimov, Anastasia Mozhaeva,Alexander Yaroschuk,Пикунова Елена Юрьевна,Yuri Berchenko,Ilya Sidorov,Yuri Dolzhenko"
Коронавирусы SARS-CoV-2 и возбудители ОРВИ,Saint Petersburg State University,100% online,12.0,Russian,2.4,Mixed,"Alexander Markov/Марков Александр Георгиевич,Arina Fedorova/Федорова Арина Александровна,Oksana Rybalchenko"
Корпоративное право для не-юристов,HSE University,100% online,26.0,Russian,2.8,Mixed,Селивановский Антон Сергеевич
Креативная коммуникация: методы и инструменты,Saint Petersburg State University,100% online,11.0,Russian,4.8,Advanced,Лола Галина Николаевна
Кристаллография в материаловедении,National Research Nuclear University MEPhI,100% online,15.0,Russian,4.8,Beginner,"Скрытный Владимир Ильич,Яльцев Валерий Николаевич"
Лидерство и эмоциональный интеллект,Indian School of Business,100% online,13.0,Russian,4.3,Beginner,Ramnarayan Subramaniam
Линейная алгебра (Linear Algebra),HSE University,100% online,19.0,Russian,4.5,Beginner,Irina Khovanskaya
Линейная алгебра и аналитическая геометрия,Peter the Great St. Petersburg Polytechnic University,100% online,15.0,Russian,4.6,Beginner,Антонов Валерий Иванович
Линейная алгебра: от идеи к формуле,HSE University,100% online,39.0,Russian,2.8,Mixed,Борис ДемешевTop Instructor
Линейная регрессия,Saint Petersburg State University,100% online,14.0,Russian,4.9,Intermediate,"Варфоломеева Марина Александровна,Хайтов Вадим Михайлович"
Линейные модели с дискретными предикторами,Saint Petersburg State University,100% online,12.0,Russian,3.4,Intermediate,"Варфоломеева Марина Александровна,Хайтов Вадим Михайлович"
Логистика,Peter the Great St. Petersburg Polytechnic University,100% online,63.0,Russian,4.1,Intermediate,Дуболазов Виктор Андреевич
Макроэкономика  (вводный курс),Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,2.0,Russian,4.7,Beginner,Стрелец Ирина Александровна
Макроэкономика (Macroeconomics),HSE University,100% online,24.0,Russian,4.9,Beginner,Oleg Zamulin
Маркетинг в цифровом мире,University of Illinois at Urbana-Champaign,100% online,27.0,Russian,3.9,Beginner,Aric Rindfleisch
Маркетинг инновационных продуктов,Moscow Institute of Physics and Technology,100% online,25.0,Russian,4.7,Beginner,Малков Артемий Сергеевич
"Маркетинг. Часть 1. Основные категории, принципы и подходы",Peter the Great St. Petersburg Polytechnic University,100% online,19.0,Russian,4.2,Beginner,Anastasii Klimin
Маркетинг. Часть 2. Инструментарий маркетинга,Peter the Great St. Petersburg Polytechnic University,100% online,22.0,Russian,4.6,Intermediate,Anastasii Klimin
Маркетинговая стратегия в digital среде (Digital marketing strategy) ,HSE University,100% online,16.0,Russian,4.5,Intermediate,"Пикунова Елена Юрьевна,Домашенко Валерий Юрьевич,Куприянова Яна Евгеньевна,Кузьминых Ксения Александровна,Чиликин Михаил Игоревич,Курс Кристина Александровна"
Мастерство создания стоимости компании,HSE University,100% online,8.0,Russian,2.7,Intermediate,"Ивашковская Ирина Васильевна,Иван Иванович Родионов,Партин Илья Маркович,Кузубов Сергей Анатольевич"
Математика в тестировании дискретных систем,National Research Tomsk State University,100% online,25.0,Russian,4.2,Mixed,"Шабалдина Наталия Владимировна,Прокопенко Светлана Анатольевна,Громов Максим Леонидович,Торгаев Станислав Николаевич,Лапутенко Андрей Владимирович"
Математика для всех,Moscow Institute of Physics and Technology,100% online,16.0,Russian,4.8,Beginner,"Савватеев Алексей Владимирович,Бычков Борис Сергеевич"
Математическая логика. Политехнический взгляд,Peter the Great St. Petersburg Polytechnic University,100% online,24.0,Russian,4.8,Beginner,Шошмина Ирина Владимировна
Математическая статистика и А/В тестирование,HSE University,100% online,25.0,Russian,3.5,Mixed,Ульянкин Филипп Валерьевич
Математическая теория игр,Saint Petersburg State University,100% online,15.0,Russian,3.4,Intermediate,"Петросян Ованес Леонович,Тайницкий Владислав Александрович,Mariia Bulgakova,Ли Инь,Смирнова Надежда Владимировна,Панкратова Ярославна Борисовна"
Математические методы в психологии. Основы применения (Mathematical Methods in Psychology: Basics of Applying),Saint Petersburg State University,100% online,59.0,Russian,4.8,Mixed,"Наследов Андрей Дмитриевич,Волков Денис Николаевич"
Математические методы и модели в экономике,National Research Nuclear University MEPhI,100% online,20.0,Russian,4.9,Beginner,Крянев Александр Витальевич
Математический анализ для работы с данными,HSE University,100% online,29.0,Russian,4.3,Mixed,Евгений Маевский
Машинное обучение для руководителей,E-Learning Development Fund,100% online,5.0,Russian,4.4,Beginner,"Данил Лесоводский,Сергей Лукашкин"
Машинное обучение и большие данные,National Research Nuclear University MEPhI,100% online,27.0,Russian,3.6,Beginner,Киреев Василий Сергеевич
Машинное обучение на больших данных,HSE University,100% online,48.0,Russian,3.0,Mixed,"Саркисян Вероника Вагановна,Куцев Роман Анатольевич,Космачев Алексей Дмитриевич,Бардуков Анатолий Андреевич,Зимовнов Андрей Вадимович"
Машинное обучение с использованием Python,IBM,100% online,22.0,Russian,4.8,Mixed,"SAEED AGHABOZORGI,Joseph Santarcangelo"
Международная информационная безопасность: теория и практика,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,5.0,Russian,4.2,Beginner,"Зиновьева Елена Сергеевна,Крутских Андрей Владимирович,Бирюков Алексей Викторович,Зинченко Апександр Викторович,Алборова Марианна Борисовна,Михалева Екатерина Сергеевна,Смирнов Анатолий Иванович"
Международные финансы,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,4.0,Russian,4.5,Beginner,Миловидов Владимир Дмитриевич
Менеджмент информационной безопасности,HSE University,100% online,11.0,Russian,4.8,Intermediate,Сорокин Александр ВладимировичTop Instructor
Менеджмент профессиональной траектории,National Research Tomsk State University,100% online,11.0,Russian,4.8,Beginner,Валерия Николаевна Петрова
Методологии антикризисного жизненного цикла корпоративных систем,National Research Nuclear University MEPhI,100% online,12.0,Russian,4.7,Mixed,Зыков Сергей Викторович 
Методологические проблемы психологии,Saint Petersburg State University,100% online,12.0,Russian,4.9,Beginner,Аллахвердов Виктор Михайлович
Методологические проблемы психологии. Часть 2,Saint Petersburg State University,100% online,14.0,Russian,2.4,Beginner,Аллахвердов Виктор Михайлович
Методология обработки и анализа данных,IBM,100% online,10.0,Russian,4.9,Beginner,"Alex Aklson,Polong Lin"
Методы и инструменты системного проектирования,Moscow Institute of Physics and Technology,100% online,23.0,Russian,4.4,Intermediate,"Романов Алексей Александрович,Кондратьев Вячеслав Владимирович"
Методы и средства защиты информации,HSE University,100% online,15.0,Russian,4.8,Beginner,Сорокин Александр ВладимировичTop Instructor
Микроэкономика  (вводный курс),Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,2.0,Russian,4.7,Beginner,Стрелец Ирина Александровна
Мировая экономика. Ведущие страны - участники,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,8.0,Russian,4.8,Beginner,"Булатов Александр Сергеевич,Потапова Ирина Рудольфовна,Ребрей Софья Михайловна,Серединская Кристина Семёнова,Галищева Наталья Валерьевна,Карлусов Вячеслав Всеволодович,Зарицкий Борис Ефимович"
Мировая экономика. Основы,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,7.0,Russian,4.8,Beginner,"Булатов Александр Сергеевич,Ребрей Софья Михайловна,Потапова Ирина Рудольфовна,Галищева Наталья Валерьевна"
Мировая экономика. Субъекты и ресурсы.,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,9.0,Russian,4.8,Beginner,"Булатов Александр Сергеевич,Потапова Ирина Рудольфовна,Горбанев Владимир Афанасьевич,Серединская Кристина Семёнова,Зарицкий Борис Ефимович"
Модели антикризисного жизненного цикла корпоративных систем,National Research Nuclear University MEPhI,100% online,14.0,Russian,4.8,Mixed,Зыков Сергей Викторович 
Мой друг - робот: введение в социальную робототехнику / My Friend is a Robot: Introduction to Social Robotics,National Research Tomsk State University,100% online,11.0,Russian,4.8,Beginner,Надежда Зильберман 
Навыки Excel для бизнеса. Продвинутый,Macquarie University,100% online,25.0,Russian,4.3,Intermediate,"Nicky Bull,Dr Prashan S. M. Karunaratne,A/Professor Yvonne Breyer"
Навыки Excel для бизнеса: Основы,Macquarie University,100% online,26.0,Russian,4.0,Mixed,"Nicky Bull,Dr Prashan S. M. Karunaratne,A/Professor Yvonne Breyer"
Наглядное представление данных с помощью Google Таблицы,Coursera Project Network,Split-screen video,2.0,Russian,3.5,Beginner,Daria Toropchyn
Налоги и налогообложение: специальные налоговые режимы ,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,2.0,Russian,4.2,Beginner,Юнусов Ленар Альбертович
Налоговое право (Tax law),Saint Petersburg State University,100% online,13.0,Russian,4.7,Intermediate,"Сосновский Сергей Анатольевич,Шевелёва Наталья Александровна,Ногина Оксана Аркадьевна,Овсянников Сергей Вадимович,Килинкарова Елена Васильевна,Кустова Маргарита Валерьевна"
Научные тексты — учимся писать на русском и английском,National Research Nuclear University MEPhI,100% online,19.0,Russian,4.0,Beginner,"Барминова Светлана Викторовна,Яремчук Ольга Васильевна,Сицына-Кудрявцева Алевтина Николаевна,Маркевич Елена Владиславовна,Бакланова Ирина Ивановна,Голубева Ольга Владимировна,Комочкина Елена Анатольевна,Мустафина Анна Александровна,Макарова Анна Анатольевна,Курнаев Александр Алексеевич,Алешинская Евгения Владимировна,Строилова Алевтина Георгиевна,Арбатская Ольга Анатольевна  "
Нахождение инвестиционной альфы,Coursera Project Network,Split-screen video,2.0,Russian,5.0,Intermediate,"Bekhruzbek Ochilov, ACSI, IGCAP"
Нейролингвистика,Saint Petersburg State University,100% online,17.0,Russian,4.8,Mixed,"Черниговская Татьяна Владимировна,Turid Helland,Kennth Hugdahl,Kira Gor,Киреев Максим Владимирович,Ekaterina Protassova,Слюсарь Наталия Анатольевна,Kirill Nourski,Петрова Татьяна Евгеньевна,Прокопеня Вероника Константиновна"
Нейронные сети и глубокое обучение,DeepLearning.AI,100% online,20.0,Russian,2.6,Intermediate,"Andrew NgTop Instructor,Kian KatanforooshTop Instructor,Younes Bensouda MourriTop Instructor"
Неорганическая химия,Novosibirsk State University ,100% online,13.0,Russian,4.8,Intermediate,Константин Коваленко
Неформальная экономика: социальный анализ,HSE University,100% online,19.0,Russian,3.7,Mixed,Светлана Барсукова
Обобщенные линейные модели,Saint Petersburg State University,100% online,16.0,Russian,3.7,Intermediate,"Варфоломеева Марина Александровна,Хайтов Вадим Михайлович"
Обработка больших данных,HSE University,100% online,42.0,Russian,3.0,Mixed,"Космачев Алексей Дмитриевич,Бардуков Анатолий Андреевич,Зимовнов Андрей Вадимович"
Общая социологическая теория,HSE University,100% online,27.0,Russian,4.9,Beginner,Ионин Леонид Григорьевич
Общие вопросы патологии и патологической анатомии (General Issues of Pathology and Pathologic Anatomy),Saint Petersburg State University,100% online,18.0,Russian,4.3,Intermediate,Цинзерлинг Всеволод Александрович
Оптимизация портфеля с помощью модели Марковица,Coursera Project Network,Split-screen video,2.0,Russian,4.4,Intermediate,"Bekhruzbek Ochilov, ACSI, IGCAP"
Организационная диагностика,National Research Tomsk State University,100% online,12.0,Russian,4.8,Beginner,Блинов Владимир Николаевич
Организационные практики и инструменты в работе лидера образовательной организации,HSE University,100% online,18.0,Russian,4.7,Intermediate,"Поливанова Катерина Николаевна,Надежда Викторовна Бысик,Елена Владимировна Чернобай,Ирина Викторовна Брун,Янкевич Семен Васильевич"
Органическая химия,Novosibirsk State University ,100% online,9.0,Russian,4.7,Intermediate,Денис Морозов
Основные аспекты инновационного процесса предприятия,National Research Nuclear University MEPhI,100% online,7.0,Russian,4.5,Beginner,"Токарев Антон Николаевич,Юдин Игорь Андреевич,Мошев Александр Александрович,Ануфриев Борис Федорович,Берестов Александр Васильевич,Барышев Геннадий Константинович"
Основные технологии машиностроительных производств,National Research Nuclear University MEPhI,100% online,8.0,Russian,2.4,Beginner,"Родько Илья Игоревич,Божко Юрий Валентинович,Юдин Игорь Андреевич,Берестов Александр Васильевич,Токарев Антон Николаевич"
"Основы SMM: тренды, аудитории, платформы",National Research Tomsk State University,100% online,12.0,Russian,4.4,Beginner,"Наталья Андреевна Карнаухова (Natalya A. Karnaukhova),Гульнафист Алтаевна Окушова (Gulnafist A. Okushova),Юлия Михайловна Стаховская (Yulia M. Stakhovskaya),Андрей Петрович Глухов (Andrey P. Glukhov)"
Основы бизнес-планирования и маркетинга,Saint Petersburg State University,100% online,6.0,Russian,4.8,Beginner,"Евневич Мария Александровна,Титов Виктор Олегович/Titov Victor"
Основы бухгалтерского учета и аудита,Saint Petersburg State University,100% online,5.0,Russian,4.3,Mixed,"Гузов Юрий Николаевич,Львова Дина Алексеевна"
Основы вирусологии (Introduction to Virology),Novosibirsk State University ,100% online,23.0,Russian,4.8,Mixed,"Сергей Нетесов,Маргарита Романенко,Артем Тикунов,Галина Кочнева"
Основы графического дизайна,California Institute of the Arts,100% online,15.0,Russian,5.0,Beginner,Michael Worthington
Основы и практическое применение блокчейна,Saint Petersburg State University,100% online,5.0,Russian,4.9,Beginner,Достов Виктор Леонидович
Основы конституции и конституционного права,Saint Petersburg State University,100% online,28.0,Russian,4.3,Intermediate,"Бушев Егор Андреевич,Гриценко Анна Сергеевна,Алексей Вячеславович Должиков,Манжосов Сергей Анатольевич,Гриценко Елена Владимировна,Sergei A. Belov"
Основы корпоративных финансов (Fundamentals of Corporate Finance),HSE University,100% online,30.0,Russian,4.8,Beginner,"Ивашковская Ирина Васильевна,Sergey Stepanov"
Основы машинного обучения,HSE University,100% online,48.0,Russian,4.2,Mixed,"Анастасия Рысьмятова,Evgeny Sokolov"
Основы микроэкономики (Microeconomics Principles),HSE University,100% online,33.0,Russian,4.5,Beginner,Konstantin Sonin
Основы налогообложения бизнеса в России,Saint Petersburg State University,100% online,7.0,Russian,3.9,Mixed,"Покровская Наталья Владимировна,Титов Виктор Олегович/Titov Victor"
Основы олимпиадного программирования,Saint Petersburg State University,100% online,32.0,Russian,4.9,Intermediate,Горбачев Егор Андреевич
Основы поиска дела жизни. Часть 1. Как перестать откладывать дела на потом?,National Research Nuclear University MEPhI,100% online,11.0,Russian,4.8,Beginner,Кочкин Павел
"Основы поиска дела жизни. Часть 2. Что скрывается за вопросом ""Как найти себя?""",National Research Nuclear University MEPhI,100% online,12.0,Russian,4.9,Beginner,Кочкин Павел
Основы программирования на Python,HSE University,100% online,87.0,Russian,4.5,Beginner,Густокашин Михаил Сергеевич
Основы проектирования приложений интернета вещей	,Moscow Institute of Physics and Technology,100% online,8.0,Russian,4.4,Intermediate,Корнилов Алексей Вадимович
Основы рационального использования агроландшафтов,Saint Petersburg State University,100% online,12.0,Russian,2.9,Mixed,"Абакумов Евгений Васильевич,Битюцкий Николай Петрович,Якконен Кирилл Леонидович,Надпорожская Марина Алексеевна"
Основы риск-менеджмента в Банке,SberUniversity,100% online,17.0,Russian,4.8,Beginner,Ведяхин Александр Александрович
Основы управления личными финансами,E-Learning Development Fund,100% online,19.0,Russian,4.6,Beginner,Анна Деньгина
Основы управления проектами в современной бизнес-среде,National Research Nuclear University MEPhI,100% online,12.0,Russian,3.7,Beginner,Беляева Татьяна Владимировна
Основы философии: о чем спорят философы сегодня,HSE University,100% online,34.0,Russian,4.8,Beginner,"Углева Анастасия Валерьевна,Мартынов Кирилл Константинович,Мишура Александр Сергеевич,Горбатов Виктор Викторович"
Основы финансовой грамотности,Saint Petersburg State University,100% online,13.0,Russian,3.7,Mixed,"Дарушин Иван Александрович,Жигалов Вячеслав Михайлович,Покровская Наталья Владимировна,Писаренко Жанна Викторовна,Соколовская Елена Васильевна,Белозёров Сергей Анатольевич"
Основы финансовой культуры,Saint Petersburg State University,100% online,10.0,Russian,2.4,Mixed,"Соколовская Елена Васильевна,Жигалов Вячеслав Михайлович,Покровская Наталья Владимировна,Дарушин Иван Александрович,Писаренко Жанна Викторовна,Белозёров Сергей Анатольевич"
Основы фотографии,Novosibirsk State University ,100% online,11.0,Russian,4.9,Beginner,Антон УницынTop Instructor
Открытые образовательные ресурсы:шведский стол преподавателя,National Research Tomsk State University,100% online,8.0,Russian,4.7,Beginner,"Маслова Дарья Александровна,Надежда Зильберман ,Велединская Светлана"
Охрана труда и безопасность на производстве,Saint Petersburg State University,100% online,19.0,Russian,2.3,Mixed,"Матюшенок Константин Васильевич,Лукьянова Людмила Анатольевна,Зрянина Надежда Васильевна,Яковлев Алексей Георгиевич ,Горяйнов Владимир Григорьевич,Харитонова Елена Александровна,Свитнев Игорь Владимирович"
Оценка акций через анализ сопоставимых компаний,Coursera Project Network,Split-screen video,2.0,Russian,4.6,Intermediate,"Bekhruzbek Ochilov, ACSI, IGCAP"
Оценка облигаций,Coursera Project Network,Split-screen video,2.0,Russian,3.0,Intermediate,"Bekhruzbek Ochilov, ACSI, IGCAP"
Оценка стоимости компании,HSE University,100% online,20.0,Russian,4.3,Mixed,"Ивашковская Ирина Васильевна,Тихомиров Дмитрий Викторович,Кузубов Сергей Анатольевич"
Переходные процессы в электрических цепях,Moscow Institute of Physics and Technology,100% online,26.0,Russian,2.0,Mixed,"Станислав Козел,Владимир Овчинкин,Андрей Гавриков"
Повествование и влияние: Эффектная коммуникация,Macquarie University,100% online,18.0,Russian,3.8,Mixed,"Associate Professor Lawrence Ang,Arabella MacPherson"
Повышение эффективности глубоких нейросетей,DeepLearning.AI,100% online,18.0,Russian,3.0,Beginner,"Andrew NgTop Instructor,Kian KatanforooshTop Instructor,Younes Bensouda MourriTop Instructor"
Политика и управление водными ресурсами,University of Geneva,100% online,18.0,Russian,5.0,Mixed,"Christian Bréthaut,Géraldine Pflieger"
Политическая география,Moscow State Institute of International Relations (MGIMO) / МГИМО (Московский государственный институт международных отношений МИД России),100% online,24.0,Russian,4.9,Mixed,Igor Okunev
Портфельные инвестиции: активные и пассивные стратегии,HSE University,100% online,12.0,Russian,4.5,Mixed,"Столяров Андрей Иванович,Теплова Тамара Викторовна,Берзон Николай Иосифович"
Последовательные модели,DeepLearning.AI,100% online,16.0,Russian,4.4,Intermediate,"Andrew NgTop Instructor,Kian KatanforooshTop Instructor,Younes Bensouda MourriTop Instructor"
Право интеллектуальной собственности в цифровую эпоху,Saint Petersburg State University,100% online,13.0,Russian,4.2,Beginner,Байер Елена Михайловна
Правовое обеспечение бизнеса в России,Saint Petersburg State University,100% online,5.0,Russian,4.1,Mixed,"Жмулина Диана Александровна/Diana A. Zhmulina,Титов Виктор Олегович/Titov Victor"
Правовое регулирование налога на прибыль в Российской Федерации,Saint Petersburg State University,100% online,8.0,Russian,4.3,Beginner,Шевелёва Наталья Александровна
